CENSUS v1 records=6844 census_bytes=3361382400 census_default_heap=3224543232 census_upload_readback=136839168 d3d12ma_allocated=3361382400 d3d12ma_blocks=3712090112 driver_usage=4096929792 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=64 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=36 pso_compile_ms=19.6 pso_compile_max_ms=1.3 d3d12ma_allocated_video=3224543232 d3d12ma_blocks_video=3513581568
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/scotspine1_BB_SF_0.5_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/drypine_BB_SF_0.5_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/pine_branches.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/western pine_branches_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/weed4_SF_1.0.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/scotspine2_BB_SF_0.7_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/course grass_mat1_SF_1.15.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/westernpine_BB_SF_0.5_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/wild grass_mat1_SF_1.17.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/weed6_SF_0.35.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/grassbank/weed8_SF_1.0.dds"
