CENSUS v1 records=6340 census_bytes=2428788736 census_default_heap=2343329792 census_upload_readback=85458944 d3d12ma_allocated=2428788736 d3d12ma_blocks=2610561024 driver_usage=2983800832 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=47 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=38 pso_compile_ms=13.3 pso_compile_max_ms=1.0 d3d12ma_allocated_video=2343329792 d3d12ma_blocks_video=2463760384
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree5a_BB_SF_0.75_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/vine tree small_BB_SF_0.5_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/jungletree3_branches_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/vine tree small_branches.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/kentia palm_branches.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/kentia palm_BB_SF_0.5_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/textures/palm_branches.dds"
T 1441792 1024 1024 1 9 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/editors/gfx/brush_ring.png"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/jungletree3a_BB_SF_1_color.dds"
T 1441792 1024 1024 1 11 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/treebank/billboards/vine tree large_BB_SF_0.67_color.dds"
